"tweet_id";"content";"user_id";"isPositive"
"1";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"efullsimpell";"1"
"2";"#dejournal Presiden #Jokowi ""Mata Duitan"" Demi Dana #Pembangunan https://t.co/agQfkBTrzY #apbd #emas";"dejournal.id";"0"
"3";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"parpa";"1"
"4";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Seribu3";"1"
"5";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"âœŒ Kremjay âœŒ";"1"
"6";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Jessica Febrina";"1"
"7";"#Berita Indonesia : Minta Akuntansi Negara Berorientasi Hasil, Presiden Jokowi: Banyakâ€¦ https://t.co/Lz7a4Wfdbvâ€¦ https://t.co/LCPohPHjF7";"Alat TerapiKesehatan";"0.5"
"8";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Agung";"1"
"9";"Minta Akuntansi Negara Berorientasi Hasil, Presiden Jokowi: Banyak Inefisiensi APBN dan APBD: Presiden Jokowi... https://t.co/zUjMAXe4Fu";"Toko kursi refleksi";"0"
"10";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Wakandakagawa";"1"
"11";"Makasih pak @jokowi Tetap jaga @KPK_RI sbg Penjaga Uang Rakyat. APBN / APBD dari rakyat &amp utk kepentingan rakyat #Politic_ID #Politic_ID";"Syahril";"1"
"12";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Kurniawan, Fajar";"1"
"13";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Rafa Stya Nugraha";"1"
"14";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"arifian ramadhan";"1"
"15";"@KemenkeuRI Teguran Pak @jokowi ttg sstm Akuntansi Pemerintah perlu me-REVISI UU KEUNEG NO. 17/2003 yg memberati ssâ€¦ https://t.co/wBwOUD1o";"elfizon anwar";"1"
"16";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Uncle mike";"1"
"17";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Uncle Jojo";"1"
"18";"RT @kompascom: Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/4VOOkFAhXw https://t.co/F1UxvHUyQ1";"Benz Simangunsong";"0.5"
"19";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"hamdani eka";"1"
"20";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Yuliana";"1"
"21";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"-Yuyun-";"1"
"22";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Beben Saepuloh";"1"
"23";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Harun Shaleh";"1"
